Subject ID	sid_hash	Evaluation	correct	Actual	q_strategy	Response	PD	AoE	Basis for Choice	Second Choice	Additional Notes
136	4c715b	Correct	Correct	Correct	Find a number that is alone in a row or column perpendicular to the solvable row. This number must not be in a box that includes the solvable row. That first number that was found is the answer	Find a number that is alone in a row or column perpendicular to the solvable row. This number must not be in a box that includes the solvable row. That first number that was found is the answer	Target		D. Potentially valid but general or not fully specified	C. Found cell where one PD could go and the other could not	Would have to also specify that the row/column found must not intersect the blue line at a 3x3 grid which contains other non-blue numbers (e.g. 7th row in this case), hence, D. But otherwise, this seems to be basis C.
137	0dc1e6	Correct	Correct	Correct	I tried to figure out which numbers could appear	I tried to figure out which numbers could appear	Neither		H. Unclear, confused or missing basis		
138	fa128a	Correct	Correct	Correct	I made a 50/50 guess between the 2 most prevalent given numbers, 7, and 4	I made a 50/50 guess between the 2 most prevalent given numbers, 7, and 4	Both		E. Explicit guess		
139	9e8c77	Correct	Correct	Correct	I used a process of elimination. I eliminated the possible squares for 8. I realized 8 can only be in one square due to contradictions. Thus, I determined the correct answer was 8.	I used a process of elimination. I eliminated the possible squares for 8. I realized 8 can only be in one square due to contradictions. Thus, I determined the correct answer was 8.	Target		A. Chose digit that cannot go elsewhere		
140	747585	Incorrect	Incorrect	Incorrect	6+3=9, 8+3=11, 9+2=11	6+3=9, 8+3=11, 9+2=11	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
141	74e897	Correct	Correct	Correct	no steps	no steps	Neither		I. Did not answer the question		
142	7f6076	Correct	Correct	Correct	in that row and column ,there was not a similar number to the 1 i chose.	in that row and column ,there was not a similar number to the 1 i chose.	Target		H. Unclear, confused or missing basis		
143	f806dc	Correct	Correct	Correct	To solve the puzzle, I first find the grid with three empty blue squares. This grid always has two numbers which are not inside the blue squares. To start, I know that the number I am looking for will be one of these two numbers. I then find the other empty blue squares in the puzzle. I examine the row/column that each of the remaining blue squares is in. Which ever number appears in each of these rows/columns is the number I am looking for.	To solve the puzzle, I first find the grid with three empty blue squares. This grid always has two numbers which are not inside the blue squares. To start, I know that the number I am looking for will be one of these two numbers. I then find the other empty blue squares in the puzzle. I examine the row/column that each of the remaining blue squares is in. Which ever number appears in each of these rows/columns is the number I am looking for.	Both		A. Chose digit that cannot go elsewhere		
144	b322f0	Incorrect	Incorrect	Incorrect	take the 2 numbers of to the sides, weather lower or higher depended on what seemed logical	take the 2 numbers of to the sides, weather lower or higher depended on what seemed logical	Both	No or yes w/o explanation	F. Irrelevant basis for choice		
145	a4706a	Correct	Correct	Correct	I figured out what 2 numbers aren't in the blue row. Then I looked at the empty space columns for the numbers that it can't be. I filled in the spaces from those.	I figured out what 2 numbers aren't in the blue row. Then I looked at the empty space columns for the numbers that it can't be. I filled in the spaces from those.	Both		D. Potentially valid but general or not fully specified		
146	f6ff94	Correct	Correct	Correct	I always choose one of the two numbers shown outside of the highlighted row and I tended to choose the higher of the two numbers as they seemed to be correct quite a bit more often than the low number.	I always choose one of the two numbers shown outside of the highlighted row and I tended to choose the higher of the two numbers as they seemed to be correct quite a bit more often than the low number.	Both		F. Irrelevant basis for choice		
147	c3a281	Correct	Correct	Correct	Step 1: Identify the grid with both numbers and ignore.     Step 2: Next grid without the green box, identify if a 6 or a 9 can go in either box. The six can not go in either box so that means the 6 must go in the green box.	Step 1: Identify the grid with both numbers and ignore.     Step 2: Next grid without the green box, identify if a 6 or a 9 can go in either box. The six can not go in either box so that means the 6 must go in the green box.	Both		A. Chose digit that cannot go elsewhere		
148	3658b7	Correct	Correct	Correct	First I scanned the white area to see what two numbers repeated (in this case, 3 and 2). I then looked for the one line in which there was only one number with a an empty blue space (there is a line like this in every puzzle). In this puzzle it was 2, so I know the blue blank must be three. That means the green blank space must be 2. In many of the puzzles, I simply looked for this number and filled in the blank. To be clear, I did not rest on this strategy at first, but after so many puzzles, I was able to figure out a short cut to get to the end. Hope this helps. Best of luck on the research.	First I scanned the white area to see what two numbers repeated (in this case, 3 and 2). I then looked for the one line in which there was only one number with a an empty blue space (there is a line like this in every puzzle). In this puzzle it was 2, so I know the blue blank must be three. That means the green blank space must be 2. In many of the puzzles, I simply looked for this number and filled in the blank. To be clear, I did not rest on this strategy at first, but after so many puzzles, I was able to figure out a short cut to get to the end. Hope this helps. Best of luck on the research.	Both		D. Potentially valid but general or not fully specified	C. Found cell where one PD could go and the other could not	Same comment as for subject 136: Would have to also specify that the row/column found must not intersect the blue line at a 3x3 grid which contains other non-blue numbers (e.g. 8th column in this case), hence, D. But otherwise, this seems to be basis C.
149	941786	Correct	Correct	Correct	i started in the 1st column and saw that 8 couldn't go there but 4 could so then knew 8 was the answer.	i started in the 1st column and saw that 8 couldn't go there but 4 could so then knew 8 was the answer.	Both		C. Found cell where one PD could go and the other could not		
150	c10a64	Correct	Correct	Correct	I used process of elimination of where to put the 3.	I used process of elimination of where to put the 3.	Both		D. Potentially valid but general or not fully specified		
151	e2f2a2	Correct	Correct	Correct	I know the correct answer has to be 6 or 2, so I need to eliminate one of those numbers. I first eliminate the 3X3 square that has both the 6 and the 2 inside of it and that same 3X3 square is part of the highlighted row. Then I simply check the other 2 columns to see if either the 6 or 2 is in one or both of those rows. Since the 2 is already taken in 2 of the rows, the only other place to put a 2 is in my row. I hope that explains it.	I know the correct answer has to be 6 or 2, so I need to eliminate one of those numbers. I first eliminate the 3X3 square that has both the 6 and the 2 inside of it and that same 3X3 square is part of the highlighted row. Then I simply check the other 2 columns to see if either the 6 or 2 is in one or both of those rows. Since the 2 is already taken in 2 of the rows, the only other place to put a 2 is in my row. I hope that explains it.	Both		A. Chose digit that cannot go elsewhere		
152	1d142c	Correct	Correct	Correct	At this point in the experiment I have already found the patterns that indicate whether the answer might be right or wrong. There's comes a time when you automate the process of solving the puzzle. I usually ignore the portion of the puzzle that contains the relevant numbers. I then look at the spaces on the highlighted in blue row and start eliminating the possibilities. It is true that the answer is usually the number that's by itself in a given row.	At this point in the experiment I have already found the patterns that indicate whether the answer might be right or wrong. There's comes a time when you automate the process of solving the puzzle. I usually ignore the portion of the puzzle that contains the relevant numbers. I then look at the spaces on the highlighted in blue row and start eliminating the possibilities. It is true that the answer is usually the number that's by itself in a given row.	Target		D. Potentially valid but general or not fully specified		To be clear: just looking at which number is alone in a row does not give the answer, as this is the case for the third column from the left as well (which has only 8). But since the subject says "usually" and not "always", I'm not taking an issue with that, and so I'm assigning basis D based on the second-to-last sentence of the answer.
153	14c0d6	Correct	Correct	Correct	Eliminated all filled boxes in row, then 3x3 box at middle right, then eliminated bottom right box in middle left and filled left box with 3 which left the only possible answer for green box 7.	Eliminated all filled boxes in row, then 3x3 box at middle right, then eliminated bottom right box in middle left and filled left box with 3 which left the only possible answer for green box 7.	Both		B. One PD can go elsewhere, chose the other		
154	c30fcd	Correct	Correct	Correct	good task	good task	Neither		I. Did not answer the question		
155	4cc234	Correct	Correct	Correct	I looked at all the possibilty where an 8 could be in the other possible choices and whether or not there was an 8 or 3 in those spaces and felt this was the only logical solution.	I looked at all the possibilty where an 8 could be in the other possible choices and whether or not there was an 8 or 3 in those spaces and felt this was the only logical solution.	Both		D. Potentially valid but general or not fully specified		
156	1d965d	Incorrect	Incorrect	Incorrect	I know the 7 cant go there because it is touching the space so it has to be the 2.	I know the 7 cant go there because it is touching the space so it has to be the 2.	Both	No or yes w/o explanation	F. Irrelevant basis for choice		
157	04ba42	Correct	Correct	Correct	First I found the box where I could not put an 8 or a 1 because both numbers were already in that box. This box is in the middle section on the far left. Then i found a column where both 1 and 8 were and ruled out that space. Then I looked at the 7th column from the left which only had an 8 so I know that the number 1 can go there. Therefore the remaining space in this row must be 8.	First I found the box where I could not put an 8 or a 1 because both numbers were already in that box. This box is in the middle section on the far left. Then i found a column where both 1 and 8 were and ruled out that space. Then I looked at the 7th column from the left which only had an 8 so I know that the number 1 can go there. Therefore the remaining space in this row must be 8.	Both		B. One PD can go elsewhere, chose the other		
158	b10c05	Correct	Correct	Correct	I honestly just guessed	I honestly just guessed	Neither		E. Explicit guess		
159	c64038	Correct	Correct	Correct	I started at the top of the blue row, then looked to see if i could place either a 8 or a 6. Moved down till i determend which one could go where then placed in the Number.	I started at the top of the blue row, then looked to see if i could place either a 8 or a 6. Moved down till i determend which one could go where then placed in the Number.	Both		D. Potentially valid but general or not fully specified		
160	f26608	Correct	Correct	Correct	I can see that the middle block has both of the other horizontal rows filled with 1's (vs only one 2) and the top block (with the blue row) has both a 1 in it so the answer has to be a 1	I can see that the middle block has both of the other horizontal rows filled with 1's (vs only one 2) and the top block (with the blue row) has both a 1 in it so the answer has to be a 1	Target		A. Chose digit that cannot go elsewhere		
161	d535b1	Correct	Correct	Correct	In the blue column, the bottom three blocks are within a 3x3 blocks having 1 and 8, so these bottom 3 blocks can't be 1 or 8. In the middle three blue blocks, the bottom block is in a line having 1 and 8, so it can't be 1 or 8. In the top three blue blocks, there is a line with 1. Thus, the middle block in the middle three blocks should be 1. I use the way to exclude blocks and find out which block should be exclusive for 1 or 8.	In the blue column, the bottom three blocks are within a 3x3 blocks having 1 and 8, so these bottom 3 blocks can't be 1 or 8. In the middle three blue blocks, the bottom block is in a line having 1 and 8, so it can't be 1 or 8. In the top three blue blocks, there is a line with 1. Thus, the middle block in the middle three blocks should be 1. I use the way to exclude blocks and find out which block should be exclusive for 1 or 8.	Both		A. Chose digit that cannot go elsewhere		
162	e20d70	Correct	Correct	Correct	I knew the answer had to be a 6 or 8. I first looked at the empty squares in the highlighted blue column. Then, I looked at the top three squares in that column. Since there's a 6 and 8 in that 3x3 area, I knew I couldn't check those top 3 squares for a 6 or 8. Since the next 3 squares all had numbers, I focused on the bottom 3. There were 2 empty squares. I noticed that there was a 6 in the row of the first square. That meant that that square would have to be an 8 since you can't have two of the same number in the same row.	I knew the answer had to be a 6 or 8. I first looked at the empty squares in the highlighted blue column. Then, I looked at the top three squares in that column. Since there's a 6 and 8 in that 3x3 area, I knew I couldn't check those top 3 squares for a 6 or 8. Since the next 3 squares all had numbers, I focused on the bottom 3. There were 2 empty squares. I noticed that there was a 6 in the row of the first square. That meant that that square would have to be an 8 since you can't have two of the same number in the same row.	Both		C. Found cell where one PD could go and the other could not		
163	497150	Correct	Correct	Correct	the middle box to the far left cant be a six so it must be a five and having another 5 in the middle box would contradict. Thats my best guess anyway, I don't really know how to play suduko but that sort've pattern tended to give me the right answer	the middle box to the far left cant be a six so it must be a five and having another 5 in the middle box would contradict. Thats my best guess anyway, I don't really know how to play suduko but that sort've pattern tended to give me the right answer	Both		C. Found cell where one PD could go and the other could not		
164	3d2616	Correct	Correct	Correct	I saw that there was a 4 and 8 in the bottom middle grid. This let me know that those were two numbers i was interested in, since they eliminated themselves from contention for the column in question. I then looked at the non eliminated boxes in the column and checked to see if they were also eliminated by an 8 or 4 in their row. You can see that the top bow in our row is eliminated by the 8 to its left, meaning that box could still be a 4. The second empty box is eliminated by both 8 on the left and 4 on the right, it cant be either of those numbers. Since the last 3 boxes in our column are eliminated by the 4 and 8 in that grid, it leaves only one space available left for the 8 to go in our column.	I saw that there was a 4 and 8 in the bottom middle grid. This let me know that those were two numbers i was interested in, since they eliminated themselves from contention for the column in question. I then looked at the non eliminated boxes in the column and checked to see if they were also eliminated by an 8 or 4 in their row. You can see that the top bow in our row is eliminated by the 8 to its left, meaning that box could still be a 4. The second empty box is eliminated by both 8 on the left and 4 on the right, it cant be either of those numbers. Since the last 3 boxes in our column are eliminated by the 4 and 8 in that grid, it leaves only one space available left for the 8 to go in our column.	Both		A. Chose digit that cannot go elsewhere		
165	b1f158	Correct	Correct	Correct	I looked at the columns that contain both a 6 and a 9 and determined which blocks could not contain a 6 nor a 9. I eliminated the blocks in the row with the green square as possibilities then looked at the columns that contained a 6 or a 9. I chose 6 because I felt the column containing only a 6 would use 9 in that space because of the placement of 9 in the rows.	I looked at the columns that contain both a 6 and a 9 and determined which blocks could not contain a 6 nor a 9. I eliminated the blocks in the row with the green square as possibilities then looked at the columns that contained a 6 or a 9. I chose 6 because I felt the column containing only a 6 would use 9 in that space because of the placement of 9 in the rows.	Both		C. Found cell where one PD could go and the other could not		
166	ebf4c3	Correct	Correct	Correct	I slide my finger to the left of the row and look when I encounter a number in a column, I look to see what the options are for the column. Then when I rule out the options, I do the same thing to the right, until I ruled out either the 1 or the 9	I slide my finger to the left of the row and look when I encounter a number in a column, I look to see what the options are for the column. Then when I rule out the options, I do the same thing to the right, until I ruled out either the 1 or the 9	Both		D. Potentially valid but general or not fully specified		
167	63ea3a	Correct	Correct	Correct	I first found the 3x3 box with the numbers 9 and 8 and eliminated those blue boxes because neither of those numbers could be used again there. Then, I found the column between the numbers 7 and 4 and eliminated the blue box because the column contained 9 and 8. Finally, from the two columns left, I concluded that the blue box that shared the column with an 8 must be 9. So then, the remaining box must be 8.	I first found the 3x3 box with the numbers 9 and 8 and eliminated those blue boxes because neither of those numbers could be used again there. Then, I found the column between the numbers 7 and 4 and eliminated the blue box because the column contained 9 and 8. Finally, from the two columns left, I concluded that the blue box that shared the column with an 8 must be 9. So then, the remaining box must be 8.	Both		C. Found cell where one PD could go and the other could not		
168	ded88f	Incorrect	Incorrect	Incorrect	It is what seems to make sense to me.	It is what seems to make sense to me.	Neither	No or yes w/o explanation	H. Unclear, confused or missing basis		
